,OK=0,Ground motion,Load factor,E - glob,Gl Drift,Gl Drift - class,Element ID,Section ID (E el.),E el.,Section ID (PA el.),PA el.,PA el. - class,LN_Node,LN_Energy,LN_Res_Def
0,0,CHALFANT_A-LAD270,1,5.057290968853846,0.5001971428571428,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[3.585871326890566, 3.6811461471208573, 3.6005599528569765, 4.004602014746911, 0.06311987317377986, 0.006464962261336012, 0.06446960767885995, 0.07284713123076218, 0.2781802781841014, 0.2812730641373553, 0.07408452804810164, 0.00958599927657092, 0.0026110950917602694, 0.013469461137045842, 0.0029600315360030875, 0.03449326937329139, 0.0314440279632005, 0.005517144693419719, 0.0004026472697953553, 0.00010638463065001003, 0.0003655369099451831]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.5953101722703206, 0.5461910000517176, 0.5513980906606006, 0.5824003452004174, 0.048551042545453484, 0.027128985804929808, 0.05043367436679267, 0.062130058040731594, 0.13336706073014096, 0.13473366348414387, 0.07264444098779269, 0.028134198349587285, 0.023296640003369323, 0.03222685471215761, 0.028439121391122604, 0.05502036986864982, 0.051238657662333535, 0.034084566951925, 0.013226933873535927, 0.012494440190947498, 0.013187097821108653]","['Severe', 'Severe', 'Severe', 'Severe', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[3.585871326890566, 0.2119665929590822], [3.6811461471208573, 1.1147289321776686], [3.6005599528569765, 1.1702364120904534], [4.004602014746911, 0.22256186190706892], [0.06311987317377986, 0.023377438676815528], [0.006464962261336012, 0.006378393812997029], [0.022636524990195802, 0.06446960767885995], [0.02967910536797753, 0.07284713123076218], [0.2430032877750234, 0.2781802781841014], [0.2429460603938645, 0.2812730641373553], [0.031064813359918966, 0.07408452804810164], [0.00958599927657092, 0.0068193700696280056], [0.0016350399397092967, 0.0026110950917602694], [0.003849383531055997, 0.013469461137045842], [0.0009401081758003872, 0.0029600315360030875], [0.01585268953859301, 0.03449326937329139], [0.014285996141162922, 0.0314440279632005], [0.0009987754837327706, 0.005517144693419719], [0.0004026472697953553, -0.00012602488077616714], [3.331342915526285e-05, 0.00010638463065001003], [-4.203963337701366e-05, 0.0003655369099451831]]","[[7.9193e-05, -3.01839e-05], [3.55062e-05, 0.000105318], [3.54757e-05, 9.58859e-05], [0.000141799, 5.67394e-05], [1.61145e-05, -1.92824e-05], [8.45827e-06, -8.68709e-06], [1.9436e-05, -2.00112e-05], [-1.45495e-05, -3.02265e-05], [9.21326e-06, 8.27523e-06], [4.38689e-06, 2.25432e-06], [2.81995e-05, 4.18595e-05], [2.13221e-06, -9.75023e-06], [3.61992e-06, -6.44502e-06], [4.97861e-06, -1.17291e-05], [-3.3903e-06, -7.4963e-06], [6.24439e-06, 8.30861e-06], [4.11873e-06, 4.44134e-06], [5.07054e-06, 1.76805e-05], [-1.71702e-06, -1.19189e-06], [1.31026e-06, -1.93972e-06], [7.0697e-07, -6.07674e-08]]"
1,0,CHALFANT_A-ZAK360,1,21.319566636845845,1.4155142857142855,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5]","[16.048826454180293, 16.510535031597286, 16.07548825868266, 17.774882531292207, 0.06518630509518487, 0.006814459212212247, 0.06746178844205089, 0.06113054001043616, 0.2610679111153766, 0.2544249680719185, 0.06094940432770404, 0.007937965401098578, 0.002357191674598309, 0.008506517849231312, 0.002928190162800454, 0.017885556411184327, 0.014334545086374308, 0.0028241199663892403, 0.0007390624801513137, 0.00036522875300806974, 0.0005065870818738503]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[1.9953811892482218, 1.9863459333537157, 1.973374105263896, 2.0462130916650256, 0.04673716803790915, 0.026215015540206527, 0.05227023374975829, 0.056579950475734546, 0.12760256257261268, 0.12575282974277516, 0.06538328759702101, 0.025858045846584483, 0.02256730859952101, 0.027683935246018435, 0.025219347111390712, 0.04288407224512524, 0.03817446207602699, 0.027343189269112674, 0.011947049261510767, 0.011998453115051638, 0.011183979110139165]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[16.048826454180293, 8.608821569132601], [16.510535031597286, 13.607089696328465], [16.07548825868266, 13.008271147482365], [17.774882531292207, 10.526671852428072], [0.06518630509518487, 0.021286210946578094], [0.006814459212212247, 0.004672895058769142], [0.021709840708738836, 0.06746178844205089], [0.015899957167930065, 0.06113054001043616], [0.23017239848698812, 0.2610679111153766], [0.2333186516174858, 0.2544249680719185], [0.017361785330894747, 0.06094940432770404], [0.007937965401098578, 0.0035589581528659526], [0.002357191674598309, 0.0010002106093040604], [0.0022040070841501088, 0.008506517849231312], [0.0013904914555789801, 0.002928190162800454], [0.007167509061829647, 0.017885556411184327], [0.005458436380649615, 0.014334545086374308], [0.0011414569909939075, 0.0028241199663892403], [0.0007390624801513137, -0.0006291854212080624], [0.00036522875300806974, -0.0005975681371343814], [-0.0006906880974071192, 0.0005065870818738503]]","[[0.0010056, 0.000922848], [0.000970364, 0.00101721], [0.000977645, 0.00102173], [0.00105145, 0.00144255], [1.84707e-05, -1.52719e-05], [8.60988e-06, -7.07833e-06], [1.96296e-05, -1.70816e-05], [-1.33886e-05, -3.15422e-05], [3.27028e-06, -9.15876e-08], [3.10943e-06, -2.88724e-07], [2.0148e-05, 4.10829e-05], [2.07884e-06, -6.83793e-06], [2.87701e-06, -5.73984e-06], [4.09175e-06, -7.17013e-06], [-2.90396e-06, -6.61364e-06], [4.1007e-06, 5.14935e-06], [2.08119e-06, 2.53583e-06], [3.57718e-06, 1.13401e-05], [-1.2676e-06, -9.77302e-07], [1.1033e-06, -1.81507e-06], [7.60967e-07, 2.72686e-07]]"
2,0,CHALFANT_B-ZAK270,1,17.699404852310952,0.7587885714285715,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 5]","[13.229822145745185, 12.808798068281986, 12.73290489386882, 12.820062184812093, 0.09228786430261286, 0.007281546577163782, 0.06763973728685237, 0.1588698899739466, 1.0510774134280116, 1.22147648514256, 0.1487583127334741, 0.02377010360214471, 0.0041368024093498485, 0.01136661449495897, 0.012591242133490412, 0.05611060636097164, 0.06497699608058866, 0.0038457797721173385, 0.0007279220710205188, 0.00038712467514681235, 0.0004658335650807301]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[1.2143144027382502, 1.2000218001914233, 1.1840047537852052, 1.221531369073738, 0.06196304004879111, 0.027696512030680537, 0.04678819745704678, 0.11172466378421114, 0.30120461472644555, 0.33082463710707316, 0.10932624039805013, 0.03743990410586606, 0.025069667528578823, 0.03119817903030986, 0.04114995641822989, 0.07026120672864307, 0.07532709108618793, 0.027268126354491863, 0.014766876431427853, 0.013868940534418318, 0.014288700925598167]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'Minor', 'Moderate', 'Moderate', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[13.229822145745185, 6.799311856926605], [12.808798068281986, 10.277754901099122], [12.73290489386882, 9.914217808403883], [12.820062184812093, 6.446206673863287], [0.09228786430261286, 0.013489062719902148], [0.007281546577163782, 0.0035438690855076503], [0.03481634262448953, 0.06763973728685237], [0.06204971318156303, 0.1588698899739466], [0.9914050345937931, 1.0510774134280116], [0.5660662337461674, 1.22147648514256], [0.06105164269332107, 0.1487583127334741], [0.02377010360214471, 0.001325084575686997], [0.0041368024093498485, 0.0009832638204359204], [0.01136661449495897, 0.00980530471070368], [0.0016777540517864849, 0.012591242133490412], [0.037207492998455355, 0.05611060636097164], [0.04031345953157418, 0.06497699608058866], [0.0016493944869098841, 0.0038457797721173385], [0.0007279220710205188, -0.0004701613666470245], [0.00038712467514681235, -0.00031995972291801704], [-8.765569830660944e-05, 0.0004658335650807301]]","[[-0.000233387, -0.000298346], [-0.000208007, -0.000215839], [-0.000203653, -0.000202398], [-0.000191333, 0.00012248], [5.18471e-05, -1.08078e-05], [1.11577e-05, -2.98649e-06], [2.60932e-05, 2.35493e-05], [-6.03126e-05, -0.000110819], [-0.000205312, -0.000209109], [-0.000151508, -0.000227128], [1.24017e-06, 3.41459e-06], [2.50188e-05, -1.4482e-06], [9.35579e-06, -7.7407e-07], [1.39678e-05, 7.53869e-06], [-5.10573e-06, -2.95984e-05], [-1.57073e-05, -1.72315e-05], [-1.55462e-05, -1.97104e-05], [4.81244e-06, 1.12003e-06], [1.3975e-06, -3.86547e-07], [2.7054e-06, -6.85009e-07], [1.4098e-06, 3.28313e-06]]"
3,0,CHICHI04_CHY074-E,1,30.18882986028432,1.0143142857142855,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 5, 1, 5, 5, 5, 5, 5, 5, 1, 3, 5]","[21.85396620633583, 22.467426085940915, 22.356102474532545, 22.357309619726024, 0.08026771498216582, 0.007280036533140863, 0.08677956680424755, 0.1260557180526772, 0.5461980727133163, 0.5133006930730412, 0.11920279024165728, 0.02817323200420019, 0.0045424976859956955, 0.027344305014751824, 0.01680268549421517, 0.10334392602970995, 0.10485369961138076, 0.016315566088929378, 0.001021208622070381, 0.00018084371839149986, 0.0010115160266746003]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[1.872904337552793, 1.878179523483078, 1.8766886958011266, 1.884732530363562, 0.04891687592939161, 0.02719175673839392, 0.0574227555231339, 0.08253905740191995, 0.17821978987572593, 0.18158153064103977, 0.07599980514203716, 0.036927387090676944, 0.025254975315183392, 0.03589445198875042, 0.04263427691535645, 0.07387314494584776, 0.07486518039364702, 0.04216824138341364, 0.01497105638775616, 0.013575347946616776, 0.014843095855387472]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[21.85396620633583, 14.662510233259503], [22.467426085940915, 18.85202249121778], [22.356102474532545, 18.787452484381735], [22.357309619726024, 15.530371947517105], [0.08026771498216582, 0.0304217055338514], [0.006669678705701202, 0.007280036533140863], [0.02389900653634071, 0.08677956680424755], [0.06772304155028619, 0.1260557180526772], [0.4315444992691838, 0.5461980727133163], [0.5133006930730412, 0.49777137858688736], [0.061937911348720856, 0.11920279024165728], [0.02817323200420019, 0.00985497673520574], [0.003993153737073149, 0.0045424976859956955], [0.010263123502195211, 0.027344305014751824], [0.0028260995963087614, 0.01680268549421517], [0.060624420656064625, 0.10334392602970995], [0.06074460200669397, 0.10485369961138076], [0.002742131266358039, 0.016315566088929378], [0.001021208622070381, -0.0005481741122653456], [-9.32084528748128e-05, -5.983317917887288e-06], [-0.0005365223847374497, 0.0010115160266746003]]","[[1.61319e-06, -0.00025823], [1.71297e-05, 1.79026e-06], [2.40482e-05, 3.93593e-05], [3.46885e-05, 0.000269746], [5.04694e-06, -2.11911e-05], [7.18604e-06, -8.44398e-06], [1.87899e-05, -3.17622e-05], [-4.80152e-05, -5.1205e-05], [2.01768e-06, 1.37163e-05], [4.4089e-05, 1.67553e-05], [2.19837e-05, 5.12531e-05], [1.52901e-05, -9.96908e-06], [6.36557e-06, -7.394e-06], [1.03928e-05, -1.36865e-05], [-5.83706e-06, -2.46435e-05], [-3.96758e-07, -4.90812e-07], [1.9181e-06, 2.41101e-06], [6.07767e-06, 2.42088e-05], [-1.22533e-06, -9.54102e-07], [1.89092e-06, -2.06005e-06], [1.15489e-06, 1.26268e-06]]"
4,0,COALINGA_H-PG1000,1,0.11803504750275327,0.11164828571428571,No damage,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]","[0.004360427766112522, 0.010536899378326801, 0.01039340797283829, 0.005564385589871263, 0.0022092980461165166, 0.0016167587407519904, 0.002263349008997541, 0.00030533735930982206, 0.004647323685057291, 0.004523108463357991, 0.0020038581561257086, 0.0013205070722682867, 0.0011032349299095346, 0.0013104759680481418, -3.541700613591704e-06, 0.0006172776151676751, 0.0004964858079683292, 0.0007148982616378583, 0.00033987082770999856, 0.0003075146855500002, 0.00024801465981797767]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]","[0.02302322869510501, 0.028614319390553086, 0.02824210532342605, 0.02667928907025153, 0.015953625460582724, 0.013780508440497073, 0.015914163064819714, 0.018341715710694415, 0.022536635870915315, 0.0220241247868294, 0.019815341512633075, 0.012536046641418778, 0.011521970891063727, 0.012369081973045374, 0.013125627591986747, 0.012300990323379725, 0.011820772792517534, 0.013466070915514375, 0.006972152646090753, 0.006612967835130443, 0.006870398397663981]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[0.004360427766112522, 0.0010376535673585364], [0.010536899378326801, 0.006452999696449628], [0.01039340797283829, 0.006237200725290572], [0.005564385589871263, 0.0024217365534500808], [-0.00010655782226753983, 0.0022092980461165166], [-0.0008118568590771954, 0.0016167587407519904], [-0.0008945490817042125, 0.002263349008997541], [-4.756807930660946e-05, 0.00030533735930982206], [0.004105720759904944, 0.004647323685057291], [0.003908894311421104, 0.004523108463357991], [0.001436500554912157, 0.0020038581561257086], [-0.0005422685457119256, 0.0013205070722682867], [-0.000711337701461361, 0.0011032349299095346], [-0.0008084550164031753, 0.0013104759680481418], [-0.00023213317191372006, -0.00034969107473523304], [0.0003675704368796732, 0.0006172776151676751], [0.00030674353931571584, 0.0004964858079683292], [0.0003807773732887104, 0.0007148982616378583], [-0.00017961043931575367, 0.00033987082770999856], [-0.0002608498764649999, 0.0003075146855500002], [-0.00029907858222999863, 0.00024801465981797767]]","[[-2.95038e-06, -5.35515e-06], [5.27063e-06, 3.79177e-06], [2.40267e-06, 9.2289e-07], [8.94406e-06, 7.15591e-06], [-4.33801e-07, -2.0512e-06], [1.67536e-06, -2.24348e-06], [1.36148e-06, -1.06437e-06], [-4.68816e-06, -5.23755e-06], [2.05606e-06, 2.11946e-06], [3.40294e-08, 8.93659e-07], [5.05341e-06, 6.75329e-06], [3.44248e-07, -1.33298e-06], [1.24497e-06, -1.48288e-06], [1.08845e-06, -7.60324e-07], [-1.40256e-06, -3.51752e-06], [1.94816e-07, 7.39863e-07], [-7.47529e-08, -2.69292e-07], [1.33406e-06, 3.81861e-06], [-3.70034e-07, -1.70525e-07], [4.43413e-07, -4.69103e-07], [1.53816e-07, 3.26518e-07]]"
5,0,HECTOR_11625090,1,0.11251938049276262,0.13962085714285716,No damage,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1]","[0.006203046185267083, 0.011336399351969995, 0.01139485415114443, 0.006399776016833668, 0.0009185511889567056, 0.00044494913255130276, 0.001003173674618138, 0.0010852667323465722, 0.0043382165920499505, 0.004306128815909104, 0.0012208587439065195, 0.0003757641568149797, 0.00023874276386511408, 0.0003738059603659436, 0.00023158680973298437, 0.0005630291926974219, 0.0005610768801822028, 0.0002186598479872254, 3.4208973106740324e-05, 2.8619971399499133e-05, 2.5248982772498865e-05]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]","[0.029855198230579243, 0.03634832781777216, 0.03614695718806228, 0.03331173318235721, 0.01842577242663569, 0.015811340764915107, 0.01890137989088178, 0.021564990621013254, 0.02804101740712034, 0.027529197859788482, 0.023513450371154446, 0.014368803754353766, 0.013147134315081754, 0.014541321661922289, 0.014735973798474253, 0.015641995717771882, 0.014808753093613255, 0.015699733266848592, 0.0076955318637535, 0.007274171990795609, 0.007384519026137066]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[0.006203046185267083, 0.0015488703007375097], [0.011336399351969995, 0.005694186738031528], [0.01139485415114443, 0.005600442310555593], [0.006399776016833668, 0.001816762186040652], [0.0009185511889567056, 0.0007021794612085817], [0.00044494913255130276, 0.00039547156668486775], [0.0007118012848729477, 0.001003173674618138], [0.000745794950318092, 0.0010852667323465722], [0.0038078575581624256, 0.0043382165920499505], [0.0037338025181058217, 0.004306128815909104], [0.000806758624666899, 0.0012208587439065195], [0.0003757641568149797, 0.00025675305949816434], [0.00023874276386511408, 0.00018473280394375245], [0.0003037788572935543, 0.0003738059603659436], [9.778329867701795e-05, 0.00023158680973298437], [0.0003314861949032709, 0.0005630291926974219], [0.00032792666009182227, 0.0005610768801822028], [8.451635569787811e-05, 0.0002186598479872254], [3.4208973106740324e-05, 4.7616697870031944e-06], [2.8619971399499133e-05, 1.26406168055016e-05], [2.5248982772498865e-05, 2.2320820151688184e-05]]","[[-4.21874e-06, -6.57806e-06], [7.082e-06, 5.10405e-06], [3.12041e-06, 1.35713e-06], [1.20757e-05, 9.11216e-06], [-6.44993e-07, -2.67152e-06], [1.96658e-06, -2.90588e-06], [1.56648e-06, -1.52858e-06], [-5.34384e-06, -6.27364e-06], [3.22673e-06, 3.26092e-06], [6.70492e-07, 1.64107e-06], [6.58997e-06, 8.68263e-06], [2.91478e-07, -1.78087e-06], [1.46885e-06, -1.96622e-06], [1.27001e-06, -1.20667e-06], [-1.601e-06, -4.03715e-06], [5.52067e-07, 1.36102e-06], [2.12244e-07, 1.48303e-07], [1.72557e-06, 4.88036e-06], [-4.57688e-07, -2.67756e-07], [5.27515e-07, -6.09133e-07], [2.04153e-07, 2.88752e-07]]"
6,0,LOMAP_MEN360,1,1.247199826513521,0.27170914285714287,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.19939151748795217, 0.293715173188635, 0.2925099046911762, 0.20417466321988903, 0.021958000862688364, 0.00777648287780075, 0.031079577014079318, 0.0224142160973602, 0.12782543670243948, 0.1269629079183436, 0.02888497368318607, 0.00495765935439298, 0.0033230846813832454, 0.006919292232154273, 0.0013818159430733432, 0.007767576447737272, 0.007444453008346549, 0.002870736209739403, 0.0005511221213357021, 0.0005216012380767779, 0.0005325595900423429]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 1]","[0.10275301904801529, 0.1148252133188641, 0.11739722806105278, 0.097286430367893, 0.032129166787172016, 0.023612734752910817, 0.036177459109571486, 0.04109252096791782, 0.07630461241667413, 0.07601786526431191, 0.04651193609538218, 0.02211194492465199, 0.019133760363340475, 0.023601384141519202, 0.023250877108327236, 0.029839251735568798, 0.028602478067997168, 0.024210424938158944, 0.01052855834063991, 0.01000779413665537, 0.010177858559700308]","['Minor', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[0.19939151748795217, 0.03282382847849348], [0.293715173188635, 0.15607210515331488], [0.2925099046911762, 0.1545016729110207], [0.20417466321988903, 0.03985868798599827], [0.021958000862688364, 0.01894146652777424], [0.0018154078365720389, 0.00777648287780075], [0.008950957049714346, 0.031079577014079318], [0.00926169863025372, 0.0224142160973602], [0.10472320240254075, 0.12782543670243948], [0.1046557746373272, 0.1269629079183436], [0.013331852531507742, 0.02888497368318607], [0.0029016865245205803, 0.00495765935439298], [0.00019217775641700713, 0.0033230846813832454], [0.0008834507679849925, 0.006919292232154273], [0.00034168095820689276, 0.0013818159430733432], [0.004009813435522511, 0.007767576447737272], [0.003926281310405006, 0.007444453008346549], [0.0009800104245579252, 0.002870736209739403], [-5.540162171880627e-05, 0.0005511221213357021], [-0.0003000167737496869, 0.0005216012380767779], [-0.00033033849646406984, 0.0005325595900423429]]","[[2.09322e-05, -1.3008e-05], [3.1467e-05, 1.77684e-05], [2.0331e-05, 8.25861e-06], [6.95533e-05, 2.62191e-05], [-2.45834e-07, -1.59158e-05], [3.88189e-06, -7.17953e-06], [6.51041e-06, -1.88643e-05], [-1.0287e-05, -1.20337e-05], [1.39921e-05, 1.67945e-05], [7.36615e-06, 1.12895e-05], [1.56716e-05, 2.88675e-05], [6.01973e-07, -3.99276e-06], [2.7178e-06, -3.50798e-06], [2.48793e-06, -4.15621e-06], [-2.99225e-06, -7.4023e-06], [1.44559e-06, 3.11933e-06], [4.94278e-07, 7.02753e-07], [2.96469e-06, 8.68516e-06], [-6.62603e-07, -6.89527e-07], [1.06112e-06, -1.22277e-06], [5.80722e-07, 3.78793e-07]]"
